2D
"e( x3o5x )


elsrid

small rhombated hemi-icosidodecahedron


(more general:

e(y3o5x) with ""y"" = x,q,f,...)","hemi(. . .) | 30 |  2  2 |  1  2 1
------------+----+-------+--------
hemi(x . .) |  2 | 30  * |  1  1 0
hemi(. . x) |  2 |  * 30 |  0  1 1
------------+----+-------+--------
hemi(x3o .) |  3 |  3  0 | 10  * *
hemi(x . x) |  4 |  2  2 |  * 15 *
hemi(. o5x) |  5 |  0  5 |  *  * 6","e( x3x5x )


elgrid

great rhombated hemi-icosidodecahedron","hemi(. . .) | 60 |  1  1  1 |  1  1 1
------------+----+----------+--------
hemi(x . .) |  2 | 30  *  * |  1  1 0
hemi(. x .) |  2 |  * 30  * |  1  0 1
hemi(. . x) |  2 |  *  * 30 |  0  1 1
------------+----+----------+--------
hemi(x3x .) |  6 |  3  3  0 | 10  * *
hemi(x . x) |  4 |  2  0  2 |  * 15 *
hemi(. x5x) | 10 |  0  5  5 |  *  * 6"
4D
"e( x3o3o4o )


{3,3,4} 4

elhex

hemi-hexadecachoron","hemi(. . . .) | 4  ♦   6 | 12 | 8
--------------+---+----+----+--
hemi(x . . .) | 2 | 12 |  4 | 4
--------------+---+----+----+--
hemi(x3o . .) | 3 |  3 | 16 | 2
--------------+---+----+----+--
hemi(x3o3o .)  ♦  4 |  6 |  4 | 8","e( x4o3o3o )


{4,3,3} 4

eltes

hemi-tesseract

   ©","hemi(. . . .) | 8  ♦   4 |  6 | 4
--------------+---+----+----+--
hemi(x . . .) | 2 | 16 |  3 | 3
--------------+---+----+----+--
hemi(x4o . .) | 4 |  4 | 12 | 2
--------------+---+----+----+--
hemi(x4o3o .)  ♦  8 | 12 |  6 | 4"
"e( o3x3o4o )


ellico

hemi-icositetrachoron","hemi(. . . .) | 12  ♦   8 |  4  8 | 4 2
--------------+----+----+-------+----
hemi(. x . .) |  2 | 48 |  1  2 | 2 1
--------------+----+----+-------+----
hemi(o3x . .) |  3 |  3 | 16  * | 2 0
hemi(. x3o .) |  3 |  3 |  * 32 | 1 1
--------------+----+----+-------+----
hemi(o3x3o .)  ♦   6 | 12 |  4  4 | 8 *
hemi(. x3o4o)  ♦   6 | 12 |  0  8 | * 4",,
"e( x3o4o3o )


{3,4,3} 6

ellico

hemi-icositetrachoron","hemi(. . . .) | 12  ♦   8 | 12 |  6
--------------+----+----+----+---
hemi(x . . .) |  2 | 48 |  3 |  3
--------------+----+----+----+---
hemi(x3o . .) |  3 |  3 | 48 |  2
--------------+----+----+----+---
hemi(x3o4o .)  ♦   6 | 12 |  8 | 12",,
"e( x3o3o5o )


{3,3,5} 15

ellex

hemi-hexacosachoron","hemi(. . . .) | 60  ♦   12 |  30 |  20
--------------+----+-----+-----+----
hemi(x . . .) |  2 | 360 |   5 |   5
--------------+----+-----+-----+----
hemi(x3o . .) |  3 |   3 | 600 |   2
--------------+----+-----+-----+----
hemi(x3o3o .)  ♦   4 |   6 |   4 | 300","e( x5o3o3o )


{5,3,3} 15

elhi

hemi-hecatonicosachoron","hemi(. . . .) | 300  ♦    4 |   6 |  4
--------------+-----+-----+-----+---
hemi(x . . .) |   2 | 600 |   3 |  3
--------------+-----+-----+-----+---
hemi(x5o . .) |   5 |   5 | 360 |  2
--------------+-----+-----+-----+---
hemi(x5o3o .)  ♦   20 |  30 |  12 | 60"
"e( o3x3x3o )


eldeca

hemi-decachoron","hemi(. . . .)   | 15 |  4 |  2  4 | 4
----------------+----+----+-------+--
hemi(. x . .) & |  2 | 30 |  1  2 | 3
----------------+----+----+-------+--
hemi(o3x . .) & |  3 |  3 | 10  * | 2
hemi(. x3x .)   |  6 |  6 |  * 10 | 2
----------------+----+----+-------+--
hemi(o3x3x .) &  ♦  12 | 18 |  4  4 | 5","e( o3x4x3o )


elcont

hemi-tetracontoctachoron","hemi(. . . .)   | 144 |   4 |  2  4 |  4
----------------+-----+-----+-------+---
hemi(. x . .) & |   2 | 288 |  1  2 |  3
----------------+-----+-----+-------+---
hemi(o3x . .) & |   3 |   3 | 96  * |  2
hemi(. x4x .)   |   8 |   8 |  * 72 |  2
----------------+-----+-----+-------+---
hemi(o3x4x .) &  ♦   24 |  36 |  8  6 | 24"
"e( x3o3o3x )


elspid

hemi-small-prismated-decachoron","hemi(. . . .)   | 10 |  6 |  6  6 | 2  6
----------------+----+----+-------+-----
hemi(x . . .) & |  2 | 30 |  2  2 | 1  3
----------------+----+----+-------+-----
hemi(x3o . .) & |  3 |  3 | 20  * | 1  1
hemi(x . . x)   |  4 |  4 |  * 15 | 0  2
----------------+----+----+-------+-----
hemi(x3o3o .) &  ♦   4 |  6 |  4  0 | 5  *
hemi(x3o . x) &  ♦   6 |  9 |  2  3 | * 10","e( x3o4o3x )


elspic

hemi-small-prismated-icositetrachoron","hemi(. . . .)   | 72 |   8 |   8   8 |  2  8
----------------+----+-----+---------+------
hemi(x . . .) & |  2 | 288 |   2   2 |  1  3
----------------+----+-----+---------+------
hemi(x3o . .) & |  3 |   3 | 192   * |  1  1
hemi(x . . x)   |  4 |   4 |   * 144 |  0  2
----------------+----+-----+---------+------
hemi(x3o4o .) &  ♦   6 |  12 |   8   0 | 24  *
hemi(x3o . x) &  ♦   6 |   9 |   2   3 |  * 96"
"e( o3o3x5o )


elrahi

hemi-rectified-hecatonicosachoron","hemi(. . . .) | 600  ♦     6 |    6   3 |   2  3
--------------+-----+------+----------+-------
hemi(. . x .) |   2 | 1800 |    2   1 |   1  2
--------------+-----+------+----------+-------
hemi(. o3x .) |   3 |    3 | 1200   * |   1  1
hemi(. . x5o) |   5 |    5 |    * 360 |   0  2
--------------+-----+------+----------+-------
hemi(o3o3x .)  ♦    4 |    6 |    4   0 | 300  *
hemi(. o3x5o)  ♦   30 |   60 |   20  12 |   * 60","e( o3o3x5x )


elthi

hemi-truncated-hecatonicosachoron","hemi(. . . .) | 1200 |    3   1 |    3   3 |   1  3
--------------+------+----------+----------+-------
hemi(. . x .) |    2 | 1800   * |    2   1 |   1  2
hemi(. . . x) |    2 |    * 600 |    0   3 |   0  3
--------------+------+----------+----------+-------
hemi(. o3x .) |    3 |    3   0 | 1200   * |   1  1
hemi(. . x5x) |   10 |    5   5 |    * 360 |   0  2
--------------+------+----------+----------+-------
hemi(o3o3x .)  ♦     4 |    6   0 |    4   0 | 300  *
hemi(. o3x5x)  ♦    60 |   60  30 |   20  12 |   * 60"
"e( x  x3o4o )


ellope

hemi - octahedron-prism","hemi(. . . .) | 6 | 1  4 | 4 4 | 4 1
--------------+---+------+-----+----
hemi(x . . .) | 2 | 3  * | 4 0 | 4 0
hemi(. x . .) | 2 | * 12 | 1 2 | 2 1
--------------+---+------+-----+----
hemi(x x . .) | 4 | 2  2 | 6 * | 2 0
hemi(. x3o .) | 3 | 0  3 | * 8 | 1 1
--------------+---+------+-----+----
hemi(x x3o .)  ♦  6 | 3  6 | 3 2 | 4 *
hemi(. x3o4o)  ♦  6 | 0 12 | 0 8 | * 1","e( x  x4o3o )


eltes

hemi-tesseract","hemi(. . . .) | 8  ♦  1  3 | 3 3 | 3 1
--------------+---+------+-----+----
hemi(x . . .) | 2 | 4  * | 3 0 | 3 0
hemi(. x . .) | 2 | * 12 | 1 2 | 2 1
--------------+---+------+-----+----
hemi(x x . .) | 4 | 2  2 | 6 * | 2 0
hemi(. x4o .) | 4 | 0  4 | * 6 | 1 1
--------------+---+------+-----+----
hemi(x x4o .)  ♦  8 | 4  8 | 4 2 | 3 *
hemi(. x4o3o)  ♦  8 | 0 12 | 0 6 | * 1"
"e( x4o  x4o )


eltes

hemi-tesseract","hemi(. . . .) | 8  ♦  2 2 | 1 4 1 | 2 2
--------------+---+-----+-------+----
hemi(x . . .) | 2 | 8 * | 1 2 0 | 2 1
hemi(. . x .) | 2 | * 8 | 0 2 1 | 1 2
--------------+---+-----+-------+----
hemi(x4o . .) | 4 | 4 0 | 2 * * | 2 0
hemi(x . x .) | 4 | 2 2 | * 8 * | 1 1
hemi(. . x4o) | 4 | 0 4 | * * 2 | 0 2
--------------+---+-----+-------+----
hemi(x4o x .)  ♦  8 | 8 4 | 2 4 0 | 2 *
hemi(x . x4o)  ♦  8 | 4 8 | 0 4 2 | * 2","e( x3x3x5x )


elgidpixhi

great disprismato-hemi-hexacosi-   hecatonicosachoron","hemi(. . . .) | 7200 |    1    1    1    1 |    1    1    1    1    1   1 |   1   1   1  1
--------------+------+---------------------+------------------------------+---------------
hemi(x . . .) |    2 | 3600    *    *    * |    1    1    1    0    0   0 |   1   1   1  0
hemi(. x . .) |    2 |    * 3600    *    * |    1    0    0    1    1   0 |   1   1   0  1
hemi(. . x .) |    2 |    *    * 3600    * |    0    1    0    1    0   1 |   1   0   1  1
hemi(. . . x) |    2 |    *    *    * 3600 |    0    0    1    0    1   1 |   0   1   1  1
--------------+------+---------------------+------------------------------+---------------
hemi(x3x . .) |    6 |    3    3    0    0 | 1200    *    *    *    *   * |   1   1   0  0
hemi(x . x .) |    4 |    2    0    2    0 |    * 1800    *    *    *   * |   1   0   1  0
hemi(x . . x) |    4 |    2    0    0    2 |    *    * 1800    *    *   * |   0   1   1  0
hemi(. x3x .) |    6 |    0    3    3    0 |    *    *    * 1200    *   * |   1   0   0  1
hemi(. x . x) |    4 |    0    2    0    2 |    *    *    *    * 1800   * |   0   1   0  1
hemi(. . x5x) |   10 |    0    0    5    5 |    *    *    *    *    * 720 |   0   0   1  1
--------------+------+---------------------+------------------------------+---------------
hemi(x3x3x .)  ♦    24 |   12   12   12    0 |    4    6    0    4    0   0 | 300   *   *  *
hemi(x3x . x)  ♦    12 |    6    6    0    6 |    2    0    3    0    3   0 |   * 600   *  *
hemi(x . x5x)  ♦    20 |   10    0   10   10 |    0    5    5    0    0   2 |   *   * 360  *
hemi(. x3x5x)  ♦   120 |    0   60   60   60 |    0    0    0   20   30  12 |   *   *   * 60"
5D
"e( x3o3o3o4o )


{3,3,3,4} 5

eltac

hemi-triacontiditeron","hemi(. . . . .) | 5  ♦   8 | 24 | 32 | 16
----------------+---+----+----+----+---
hemi(x . . . .) | 2 | 20  ♦   6 | 12 |  8
----------------+---+----+----+----+---
hemi(x3o . . .) | 3 |  3 | 40 |  4 |  4
----------------+---+----+----+----+---
hemi(x3o3o . .)  ♦  4 |  6 |  4 | 40 |  2
----------------+---+----+----+----+---
hemi(x3o3o3o .)  ♦  5 | 10 | 10 |  5 | 16","e( x4o3o3o3o )


{4,3,3,3} 5

elpent

hemi-penteract","hemi(. . . . .) | 16  ♦   5 | 10 | 10 | 5
----------------+----+----+----+----+--
hemi(x . . . .) |  2 | 40  ♦   4 |  6 | 4
----------------+----+----+----+----+--
hemi(x4o . . .) |  4 |  4 | 40 |  3 | 3
----------------+----+----+----+----+--
hemi(x4o3o . .)  ♦   8 | 12 |  6 | 20 | 2
----------------+----+----+----+----+--
hemi(x4o3o3o .)  ♦  16 | 32 | 24 |  8 | 5"
"e( o3x3o3o4o )


elrat

rectified hemi-triacontiditeron","hemi(. . . . .) | 20  ♦   12 |  6  24 | 12 16 |  8 2
----------------+----+-----+--------+-------+-----
hemi(. x . . .) |  2 | 120 |  1   4 |  4  4 |  4 1
----------------+----+-----+--------+-------+-----
hemi(o3x . . .) |  3 |   3 | 40   * |  4  0 |  4 0
hemi(. x3o . .) |  3 |   3 |  * 160 |  1  2 |  2 1
----------------+----+-----+--------+-------+-----
hemi(o3x3o . .)  ♦   6 |  12 |  4   4 | 40  * |  2 0
hemi(. x3o3o .)  ♦   4 |   6 |  0   4 |  * 80 |  1 1
----------------+----+-----+--------+-------+-----
hemi(o3x3o3o .)  ♦  10 |  30 | 10  20 |  5  5 | 16 *
hemi(. x3o3o4o)  ♦   8 |  24 |  0  32 |  0 16 |  * 5","e( o3o3x3o4o )


elnit

hemi-penteractitriacontiditeron","hemi(. . . . .) | 40  ♦   12 |  12  12 |  4 12  3 |  4 3
----------------+----+-----+---------+----------+-----
hemi(. . x . .) |  2 | 240 |   2   2 |  1  4  1 |  2 2
----------------+----+-----+---------+----------+-----
hemi(. o3x . .) |  3 |   3 | 160   * |  1  2  0 |  2 1
hemi(. . x3o .) |  3 |   3 |   * 160 |  0  2  1 |  1 2
----------------+----+-----+---------+----------+-----
hemi(o3o3x . .)  ♦   4 |   6 |   4   0 | 40  *  * |  2 0
hemi(. o3x3o .)  ♦   6 |  12 |   4   4 |  * 80  * |  1 1
hemi(. . x3o4o)  ♦   6 |  12 |   0   8 |  *  * 20 |  0 2
----------------+----+-----+---------+----------+-----
hemi(o3o3x3o .)  ♦  10 |  30 |  20  10 |  5  5  0 | 16 *
hemi(. o3x3o4o)  ♦  24 |  96 |  32  64 |  0 16  8 |  * 5"
"e( x4o  x3o4o )


elsquoct

hemi - square-octahedron-duoprism","hemi(. . . . .) | 12 |  2  4 | 1  8  4 | 4  8 1 | 4 2
----------------+----+-------+---------+--------+----
hemi(x . . . .) |  2 | 12  * | 1  4  0 | 4  4 0 | 4 1
hemi(. . x . .) |  2 |  * 24 | 0  2  2 | 1  4 1 | 2 2
----------------+----+-------+---------+--------+----
hemi(x4o . . .) |  4 |  4  0 | 3  *  * | 4  0 0 | 4 0
hemi(x . x . .) |  4 |  2  2 | * 24  * | 1  2 0 | 2 1
hemi(. . x3o .) |  3 |  0  3 | *  * 16 | 0  2 1 | 1 2
----------------+----+-------+---------+--------+----
hemi(x4o x . .)  ♦   8 |  8  4 | 2  4  0 | 6  * * | 2 0
hemi(x . x3o .)  ♦   6 |  3  6 | 0  3  2 | * 16 * | 1 1
hemi(. . x3o4o)  ♦   6 |  0 12 | 0  0  8 | *  * 2 | 0 2
----------------+----+-------+---------+--------+----
hemi(x4o x3o .)  ♦  12 | 12 12 | 3 12  4 | 3  4 0 | 4 *
hemi(x . x3o4o)  ♦  12 |  6 24 | 0 12 16 | 0  8 2 | * 2",,
